1;20;7,25;23/06/2021
2;26;9,42;03/07/2021
3;24;8,7;10/07/2021
4;25;9,06;28/06/2021
5;32;11,59;12/06/2021
6;32;11,59;30/06/2021
7;31;11,23;07/06/2021
8;29;10,51;17/07/2021
9;33;11,96;12/06/2021
10;28;10,14;12/06/2021
11;30;10,87;17/07/2021
12;24;8,7;14/06/2021
13;27;9,78;03/07/2021
14;27;9,78;19/06/2021
15;28;10,14;28/06/2021
16;24;8,7;23/06/2021
17;37;13,41;17/07/2021
18;22;7,97;14/07/2021
19;35;12,68;03/07/2021
20;20;7,25;26/05/2021
21;23;8,33;21/06/2021
22;33;11,96;16/06/2021
23;28;10,14;16/06/2021
24;31;11,23;26/06/2021
25;27;9,78;21/06/2021
26;33;11,96;02/06/2021
27;28;10,14;19/06/2021
28;29;10,51;28/06/2021
29;29;10,51;14/07/2021
30;30;10,87;12/07/2021
31;34;12,32;17/07/2021
32;25;9,06;05/07/2021
33;28;10,14;03/07/2021
34;19;6,88;07/06/2021
35;32;11,59;16/06/2021
36;24;8,7;14/07/2021
37;24;8,7;12/07/2021
38;36;13,04;14/07/2021
39;24;8,7;21/04/2021
40;21;7,61;23/06/2021
41;32;11,59;09/06/2021
42;35;12,68;10/07/2021
43;24;8,7;10/07/2021
44;34;12,32;07/07/2021
45;24;8,7;05/07/2021
46;25;9,06;10/07/2021
47;33;11,96;17/07/2021
48;35;12,68;03/07/2021
49;26;9,42;28/04/2021
