1;21;7,09;28/07/2021
2;28;9,46;21/08/2021
3;28;9,46;30/08/2021
4;28;9,46;18/08/2021
5;35;11,82;11/08/2021
6;36;12,16;11/08/2021
7;36;12,16;18/08/2021
8;32;10,81;28/08/2021
9;34;11,49;25/08/2021
10;29;9,8;16/08/2021
11;33;11,15;28/08/2021
12;25;8,45;18/08/2021
13;30;10,14;23/08/2021
14;27;9,12;19/06/2021
15;29;9,8;19/07/2021
16;24;8,11;23/06/2021
17;38;12,84;31/07/2021
18;23;7,77;30/08/2021
19;37;12,5;25/08/2021
20;21;7,09;04/08/2021
21;27;9,12;23/08/2021
22;38;12,84;23/08/2021
23;28;9,46;16/06/2021
24;35;11,82;18/08/2021
25;29;9,8;18/08/2021
26;34;11,49;25/08/2021
27;30;10,14;16/08/2021
28;33;11,15;14/08/2021
29;32;10,81;25/08/2021
30;30;10,14;12/07/2021
31;36;12,16;23/08/2021
32;27;9,12;30/08/2021
33;28;9,46;03/07/2021
34;21;7,09;30/08/2021
35;33;11,15;14/08/2021
36;26;8,78;07/08/2021
37;27;9,12;09/08/2021
38;37;12,5;09/08/2021
39;24;8,11;21/04/2021
40;23;7,77;13/08/2021
41;33;11,15;13/08/2021
42;38;12,84;14/08/2021
43;27;9,12;28/08/2021
44;37;12,5;30/08/2021
45;25;8,45;09/08/2021
46;29;9,8;28/08/2021
47;34;11,49;07/08/2021
48;37;12,5;28/08/2021
49;28;9,46;16/08/2021
